sample_no, 3H_std, Well1_P1, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
107, 1.144284e-01, 3.017679e+00, -3.930725e+00, -3.930725e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
108, 1.813463e-01, 2.145171e+00, -2.823862e+00, -3.793270e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
109, 2.820495e-01, 2.045627e+00, -2.349080e+00, -2.349080e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
110, 1.044480e-01, 7.304337e+00, -2.248128e+00, -2.248128e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
111, 1.138638e-01, 5.390368e+00, -2.596448e+00, -2.596448e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
112, 1.241588e-01, 4.594870e+00, -2.787045e+00, -2.787045e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
113, 6.173452e-01, 7.461882e+00, -3.841946e+00, -3.841946e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
114, 2.992183e-01, 5.648673e+00, -2.779083e+00, -2.779083e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
115, 7.637535e-02, 5.805485e+00, -2.895866e+00, -2.895866e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
116, 1.239302e-01, 3.619246e+00, -3.239229e+00, -3.239229e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
117, 4.249110e-01, 3.386885e+00, -2.688836e+00, -2.688836e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
118, 1.447758e-01, 8.561762e+00, -2.616668e+00, -2.616668e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
119, 4.728057e-02, 6.909163e+00, -2.565340e+00, -2.565340e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
120, 1.853425e-01, 5.870715e+00, -2.496838e+00, -2.496838e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
121, 6.369285e-01, 9.729635e+00, -4.262288e+00, -4.262288e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
